follow_time,account_username,account_nb_followers,account_nb_following,account_nb_posts,hashtag,first_pic_liked,hours_before_unfollowing,unfollow_time
2020-11-24 11:51:51.362536,yasmine.benboubaker,1404,738,63,instalife,0,17,
2020-11-24 11:51:54.114890,a_naisnl,1476,993,223,instalife,1,5,
2020-11-24 11:51:56.284494,gianfrancocepollaro,31200,1973,454,instalife,0,23,
2020-11-24 11:52:07.006090,sheroseontimare,48800,2452,6124,foodie,1,18,
2020-11-24 11:52:09.494422,farinalievitoefantasia,21800,2882,3632,foodie,1,14,
2020-11-24 11:52:12.641384,lelautrec,13000,667,929,foodie,1,6,
2020-11-24 11:52:22.956829,nikita___nicole,10700,2990,27,followforfollow,0,20,
2020-11-24 11:52:25.412221,mirandahaarsma,5336,820,218,followforfollow,0,12,
2020-11-24 11:52:27.597712,_mbabe,8014,1137,716,followforfollow,1,2,
2020-11-24 12:17:03.004630,habib_ibnu18,2116,953,43,followeraktif,1,18,
2020-11-24 12:17:06.072432,mutiahhsnh_,3784,1148,30,followeraktif,0,10,
2020-11-24 12:17:08.380045,foll_media,1042,1373,46,followeraktif,1,11,
2020-11-24 12:17:20.015816,irshad_ali93,605,866,35,followstagram,1,4,
2020-11-24 12:17:23.412555,navaneesh_sv,3116,2714,10,followstagram,1,20,
2020-11-24 12:17:26.532140,aamir6928khan,1169,1184,23,followstagram,0,10,
2020-11-24 12:17:37.626003,jin.ni_,473,210,22,like4like,0,23,
2020-11-24 12:17:40.483282,chosecret4you2,3905,6083,57,like4like,0,19,
2020-11-24 12:17:43.383184,l2_28,4122,362,132,like4like,1,17,
2020-11-24 12:18:00.129032,hasib_bin_rahim,1001,294,14,followstagram,0,13,2020-11-24 13:10:19.231528
2020-11-24 12:18:02.590958,hansika6913,706,23,28,followstagram,1,8,
2020-11-24 12:18:05.083105,_nastyushaa,2177,451,32,followstagram,0,10,
2020-11-24 13:10:39.281418,j_jhrw,15400,368,45,f4f,0,12,
2020-11-24 13:10:58.935523,yasmindeborah,106000,2143,1409,beach,0,10,
2020-11-24 13:11:01.385385,allesinisgalli,8776,1994,2707,beach,0,12,
2020-11-24 13:11:03.783062,chrstnyhns,4501,1775,36,beach,0,12,
2020-11-24 13:11:21.528515,hoda_hamza20,9181,152,32,followers,1,4,
2020-11-24 13:11:24.122583,mhdjashal_,3009,549,47,followers,0,19,
2020-11-24 13:11:26.333876,shabi_daa,2073,2217,300,followers,1,3,
